Company,Product,Last Name,First Name,Telephone,Deal Status,Completion Date,Sales Code,Type of Contact,Call Attempt #1,Call Attempt #2,Call Attempt #3,Subscription Plan,Follow up,Type Of Contact,Last Name of Sales Rep,First Name of Sales Rep,Title of Sales Rep,Comments
NTT DATA Business Solutions,Solo,Brown,Juan,3843791934,Closed,2016-01-01,NEW,Email,,,,18 Mo,2023-06-07,In Person,Lang,Amber,,
Amazon,Professional,Hall,Holly,(728)858-4845,No Deal,,RPT,In Person,2023-05-28,2023-06-09,2023-06-08,,,In Person,Anderson,Elizabeth,Closer,
NTT DOCOMO,Professional,Gonzales,Penny,557-967-4759,,2016-07-20,UPG,Expo Event,,2023-06-04,,,,Telephonic,Wade,Michael,,
Cisco,Enterprise,Reyes,Thomas,(821)334-4148,Closed,,ADD,Social Media,,,2023-01-24,,,Telephonic,Lawson,Julia,,
NTT TechnoCross,Solo,Warner,Kathleen,(529)965-4237,Closed,,ADD,Telephonic,,2023-03-30,,18 Mo,,,Johnson,Aaron,Associate,
NTT TechnoCross,Professional,Taylor,Brandon,8006246446,No Deal,2019-06-25,RPT,In Person,,2023-06-12,,1 Mo,,,Hall,Kenneth,Manager,
Dell,Solo,Moore,Jacob,(883)725-0520,No Deal,,RPT,Social Media,,2023-04-15,,18 Mo,,In Person,Yang,Patricia,,
Dell,Enterprise,Jordan,Joseph,(417)678-4374,Interested,2008-03-12,RPT,,2023-01-10,2023-06-20,,,,In Person,Hendrix,Lindsey,,
NTT Data,Professional,Hopkins,Brenda,616-347-8035,No Deal,2021-04-25,ADD,Email,2023-06-06,,,1 Mo,,,Frey,Rachel,Associate,
NTT DATA Business Solutions,Enterprise,Marquez,David,4122946642,,,ADD,,,2023-04-24,,18 Mo,2023-03-27,Telephonic,Kim,Shelley,Associate,
HPE,Professional,Rogers,Julie,258-431-6437,Interested,,ADD,Email,,2023-03-10,2023-04-07,12 Mo,2023-05-01,,Jordan,Kimberly,Manager,
Salesforce,Solo,Ford,Colin,(906)533-2076,Interested,2014-07-12,UPG,In Person,,2023-04-11,2023-06-19,6 Mo,,,Robinson,Justin,Closer,
NTT TechnoCross,Enterprise,Jones,Matthew,4658667192,,2021-11-09,NEW,Telephonic,,2023-05-26,,1 Mo,,In Person,Skinner,Andrea,,
Intel,Solo,Washington,Shawn,(763)716-4078,No Deal,,,In Person,,,2023-05-11,,,In Person,Barnes,Denise,Manager,
Amazon,Enterprise,Hood,Alan,6247417170,No Deal,2014-10-28,ADD,Expo Event,,,,6 Mo,2023-05-08,,Vasquez,Nathan,Manager,
HPE,Solo,Stanton,Brandon,(702)613-8754,Closed,,NEW,In Person,,,,18 Mo,,In Person,Brown,Denise,Associate,
Intel,Professional,Holland,Samuel,8738925329,Follow Up,2013-07-17,UPG,,,2023-03-12,,12 Mo,2023-06-06,,Small,Michael,,
NTT DOCOMO,Enterprise,Hutchinson,Brandon,(878)776-5584,Follow Up,2003-11-09,UPG,Telephonic,,2023-02-13,,1 Mo,,In Person,Hansen,Julie,,
IBM,Professional,Scott,James,6756793966,No Deal,2012-12-14,NEW,Telephonic,,,2023-05-31,18 Mo,2023-02-10,In Person,Smith,Randy,Closer,
Salesforce,Enterprise,Benton,Sharon,5689978383,No Deal,2022-11-12,,Email,2023-01-17,2023-01-12,2023-02-18,,,Telephonic,Patterson,Edward,Manager,
Facebook,Enterprise,Flores,Lisa,(884)281-8913,,,ADD,,2023-03-12,2023-01-12,2023-05-25,1 Mo,,In Person,Foster,Taylor,,
Microsoft,Solo,Rosales,Tracy,7182540017,No Deal,,ADD,In Person,,2023-06-21,,1 Mo,,,Bradford,Kimberly,,
NTT DOCOMO,Enterprise,Lewis,Jennifer,5609645923,,,ADD,Expo Event,,2023-02-20,2023-02-09,,2023-05-07,,Hernandez,Kathryn,Associate,
NTT Advanced Technology,Enterprise,Pruitt,Shannon,4013476331,Closed,2009-10-04,UPG,,,2023-04-03,2023-01-25,18 Mo,,,Harvey,Mary,,
Facebook,Solo,Payne,Juan,4967553542,No Deal,2022-02-23,ADD,Telephonic,,2023-05-02,,6 Mo,,In Person,Hamilton,Paul,,
Salesforce,Enterprise,Mueller,Richard,7155532760,Closed,2020-12-08,UPG,In Person,,,2023-03-03,,,In Person,Cortez,Timothy,,
Apple,Professional,Petty,Bryan,3867696119,Closed,2021-10-05,RPT,In Person,,2023-04-24,,12 Mo,,In Person,Baker,David,Closer,
Cisco,Enterprise,Moreno,Patrick,227-829-7475,No Deal,,NEW,Email,,,,12 Mo,,Telephonic,Irwin,Jennifer,Manager,
NTT Data,Solo,Howard,Dale,6678836548,Follow Up,2011-08-25,NEW,In Person,,,,1 Mo,,In Person,Hodges,Sandra,Associate,
NTT Communications,Professional,Foster,Robert,5158655794,Follow Up,,UPG,In Person,,2023-06-19,,1 Mo,,Telephonic,Frazier,Melissa,Manager,
IBM,Solo,Mcfarland,Kristen,847-917-8031,Follow Up,2006-05-07,NEW,Social Media,,2023-03-27,,18 Mo,,In Person,Landry,Barbara,Closer,
IBM,Professional,White,Kevin,(271)402-1778,Interested,,NEW,Email,,2023-04-15,2023-03-22,18 Mo,2023-05-27,In Person,Keller,Jody,Associate,
NTT DATA Business Solutions,Professional,Garza,Charles,4808905434,,2010-07-20,,Social Media,,2023-03-20,,,2023-01-15,In Person,Carr,Tiffany,,
Dell,Solo,Smith,Elizabeth,(408)476-1954,Follow Up,2012-02-18,NEW,Social Media,,2023-01-15,2023-01-14,12 Mo,,,Solis,Jeffrey,Associate,
Cisco,Solo,Vargas,Troy,(418)813-9468,,,RPT,Email,,,,6 Mo,,Telephonic,Escobar,Natasha,,
Facebook,Enterprise,Frost,Matthew,9339685320,Follow Up,,ADD,,,,,6 Mo,,Telephonic,Diaz,Rodney,,
NTT Data,Enterprise,Bonilla,Alexander,6286914080,No Deal,2016-02-12,RPT,Expo Event,2023-01-28,2023-01-09,,6 Mo,,Telephonic,Combs,Michael,Closer,
Facebook,Enterprise,Smith,Spencer,4346123325,Interested,,ADD,In Person,,,2023-03-10,18 Mo,,,Richardson,Kimberly,Associate,
NTT Advanced Technology,Solo,Melendez,Jeffrey,(323)573-8647,Closed,2008-06-11,ADD,Social Media,,,2023-01-13,12 Mo,2023-01-22,In Person,Randolph,Jennifer,Associate,
SAP,Professional,Johnson,Melissa,(858)789-5288,,,RPT,In Person,,2023-05-31,,,,Telephonic,Thomas,John,,
Salesforce,Professional,Hudson,Randy,293-327-1173,Follow Up,2013-01-26,RPT,Social Media,,2023-03-19,,6 Mo,,In Person,Green,Megan,,
NTT Advanced Technology,Solo,Cook,Diana,(609)277-6630,,2020-06-22,,,,2023-05-25,2023-01-22,18 Mo,,,Johnson,Debbie,Closer,
Microsoft,Enterprise,Reeves,Cory,4617068825,No Deal,,NEW,Telephonic,,2023-04-05,,1 Mo,,,Williams,Mark,Associate,
IBM,Solo,Ferguson,Christine,(999)536-4625,Interested,,ADD,Telephonic,,,,6 Mo,,Telephonic,Murphy,Stephanie,Associate,
Microsoft,Enterprise,Mills,John,7483916635,No Deal,,,Telephonic,2023-02-18,2023-03-18,,,,Telephonic,Spencer,Kellie,Manager,
NTT Advanced Technology,Professional,Hogan,Barbara,2347948920,Closed,2012-11-23,ADD,Social Media,2023-06-26,,,12 Mo,,Telephonic,Davis,Jordan,Manager,
NTT Advanced Technology,Enterprise,Washington,Ann,985-406-8737,Interested,,NEW,Telephonic,2023-02-03,,,6 Mo,,In Person,Thomas,Brian,,
Amazon,Professional,Horton,Joseph,(407)343-5849,No Deal,2003-10-19,,Social Media,,2023-01-31,,,,,Gonzalez,Tanner,Associate,
HPE,Professional,Barnes,Dennis,(907)510-2162,Follow Up,,ADD,In Person,,,,18 Mo,,In Person,Smith,Danielle,Closer,
Facebook,Professional,Robles,Linda,8222167897,Closed,,,,2023-04-18,2023-06-25,2023-04-02,1 Mo,2023-02-05,Telephonic,Lewis,Gilbert,Associate,
NTT Finance,Enterprise,Rivas,James,7307634340,Closed,2022-07-05,,Social Media,,2023-03-23,,1 Mo,,In Person,Harrison,Jacqueline,Closer,
Adobe,Enterprise,Stewart,Kimberly,3884735230,Closed,2007-04-02,UPG,Telephonic,2023-03-06,2023-02-13,,6 Mo,,,Hicks,John,Associate,
NTT Data,Professional,Vaughn,Duane,5007404120,Closed,,ADD,Telephonic,,2023-02-06,,,,In Person,Hughes,Charlene,Associate,
NTT Finance,Enterprise,Romero,Adam,4843525389,No Deal,2006-07-02,,,,,,12 Mo,,,Price,Andrew,Associate,
Oracle,Solo,Phillips,Crystal,(203)394-4411,No Deal,2020-05-13,,Email,2023-03-29,,,6 Mo,2023-02-01,,Lozano,David,Closer,
Huawei,Enterprise,Carter,Jennifer,439-227-2741,No Deal,2008-03-14,ADD,Email,,,,18 Mo,,,Tran,Christine,Manager,
Google,Professional,White,Karen,462-704-0076,Follow Up,2020-02-13,,Email,,2023-03-20,,,,,Powers,Kim,,
NTT Finance,Professional,Esparza,Donna,766-726-1752,Closed,,RPT,,,2023-05-13,2023-01-04,1 Mo,,,Flynn,William,Associate,
Facebook,Enterprise,Gonzalez,Bryan,658-560-4064,,2006-11-26,ADD,Expo Event,,,2023-06-07,,,Telephonic,Taylor,Joan,Associate,
NEC,Professional,Collins,David,681-350-2609,Interested,2011-09-30,NEW,Expo Event,2023-03-13,,,18 Mo,,Telephonic,West,Robin,Closer,
Amazon,Solo,Reyes,Ronald,515-802-6576,No Deal,2005-01-02,NEW,Telephonic,,,,6 Mo,2023-05-27,In Person,Garrett,Jason,Associate,
NTT Data,Professional,Wise,Anthony,8085932760,Interested,,,Expo Event,,2023-05-14,,,,In Person,Wilson,Kathleen,Manager,
Huawei,Professional,Merritt,Theresa,(204)769-6403,Closed,,UPG,Telephonic,2023-05-03,2023-06-03,,,2023-05-07,,Oconnell,Kevin,Associate,
NTT TechnoCross,Solo,Howard,Paul,2764417512,Follow Up,,RPT,Telephonic,,2023-01-09,,18 Mo,,Telephonic,Love,Sean,Manager,
Huawei,Solo,Nolan,Monica,9938772369,No Deal,2003-11-03,RPT,Social Media,,2023-03-28,,12 Mo,,In Person,Munoz,Jonathan,Closer,
Intel,Solo,Tucker,Joy,7748815457,Closed,2005-11-16,UPG,Telephonic,,2023-02-05,2023-01-07,1 Mo,,Telephonic,Kelly,Michael,Closer,
Google,Solo,Miles,Martin,999-228-5207,No Deal,2005-04-19,UPG,,2023-04-01,,2023-06-23,,2023-05-18,Telephonic,Lynch,Edward,Manager,
Google,Professional,Yoder,Bradley,(344)342-2692,,,RPT,In Person,,2023-03-25,2023-06-11,18 Mo,,In Person,Martinez,Carla,Associate,
Cisco,Solo,Martin,Mark,2486207411,Closed,,,Email,,2023-05-08,,1 Mo,,,Johnson,Sarah,Manager,
Google,Enterprise,Green,Alicia,502-378-5463,Follow Up,2023-01-08,UPG,Telephonic,,2023-06-07,,,2023-03-18,,Cross,Ellen,,
Apple,Enterprise,Miller,Sara,(609)854-4651,Closed,2012-07-02,RPT,Social Media,2023-05-20,2023-05-06,,,,In Person,Hanson,Carolyn,Associate,
NTT Communications,Enterprise,Lopez,Maria,412-476-2461,,2015-04-28,UPG,,,,,12 Mo,,,Herrera,Charles,,
Adobe,Solo,Taylor,Mary,264-610-8492,Interested,2015-02-16,,In Person,,2023-04-29,2023-02-08,6 Mo,,Telephonic,Delacruz,Christina,,
VMware,Solo,Orozco,Anthony,6296200924,No Deal,,NEW,,,,,18 Mo,2023-06-14,Telephonic,Blevins,Shannon,Manager,
NTT DOCOMO,Enterprise,Nelson,Mark,(868)397-7845,Follow Up,2021-01-27,ADD,Expo Event,,2023-01-28,,12 Mo,,Telephonic,Taylor,Allison,,
NTT DOCOMO,Professional,Smith,Ian,4428152660,No Deal,2016-08-22,UPG,Social Media,,2023-02-13,,18 Mo,,,Rodriguez,Christine,Associate,
Apple,Solo,Young,Michael,595-646-7705,No Deal,2005-05-21,,,,,,18 Mo,,,Park,Misty,,
NTT Data,Professional,Wilcox,Michael,7926838250,No Deal,2005-06-14,RPT,Email,2023-06-24,,2023-04-21,18 Mo,,In Person,Dickerson,Andrea,Associate,
NEC,Enterprise,Vaughn,Christopher,8599581503,,2020-08-04,,In Person,,2023-05-24,,12 Mo,,In Person,Kennedy,Ricky,Associate,
NTT Advanced Technology,Enterprise,Allen,Timothy,645-519-8736,Interested,,,Expo Event,,2023-06-07,,1 Mo,2023-01-06,,Wright,Carl,,
HP,Professional,Lopez,Jordan,(559)548-4057,Follow Up,,RPT,Social Media,,,,18 Mo,,,Taylor,Jessica,Manager,
NTT Urban Development,Solo,Simmons,Regina,9455764312,,,UPG,,2023-01-02,2023-03-26,2023-03-22,,2023-01-24,Telephonic,Warren,Christian,Closer,
Google,Enterprise,Garcia,Jane,(687)561-1102,Interested,2019-02-05,UPG,Telephonic,,2023-04-29,,12 Mo,,,Burns,Shirley,Manager,
HP,Enterprise,Beasley,Gary,230-796-1743,,,,Expo Event,,2023-02-04,2023-05-20,1 Mo,,Telephonic,Reed,Sean,Associate,
NTT,Enterprise,Wall,Lauren,(710)497-7690,,,NEW,Expo Event,,2023-01-15,,12 Mo,2023-01-16,Telephonic,Walker,Ryan,Manager,
NTT Communications,Solo,Walker,Glenn,(428)708-7172,No Deal,2013-11-05,ADD,Email,,,2023-04-10,6 Mo,,In Person,Jones,Wanda,,
NTT Finance,Enterprise,Morris,Joshua,628-440-4928,Follow Up,2015-05-24,ADD,Expo Event,,,,18 Mo,,Telephonic,Thompson,Heather,,
NTT Security,Professional,Anderson,Jessica,878-915-6024,,,,,,2023-01-12,2023-04-11,1 Mo,,,Wright,Michelle,,
NTT Urban Development,Enterprise,Butler,Mario,221-402-3514,,2017-03-21,ADD,Email,2023-01-14,2023-02-02,2023-04-06,,2023-02-07,,Marshall,Thomas,Associate,
NTT,Solo,Alvarez,Beth,7237254662,,2017-11-06,UPG,Social Media,2023-03-27,2023-01-17,2023-05-14,,,Telephonic,Wood,Joshua,,
NTT Communications,Professional,Rodriguez,Justin,704-215-4035,Closed,2008-12-04,RPT,,,2023-06-01,,18 Mo,,Telephonic,Reyes,Bethany,,
NTT DOCOMO,Professional,Smith,Brendan,(523)847-4694,Closed,2022-07-05,UPG,Social Media,,2023-04-21,,1 Mo,,,Marshall,Mercedes,Associate,
NTT Communications,Professional,Anderson,Harry,534-282-1439,Interested,,RPT,Email,2023-02-03,2023-02-12,2023-05-27,12 Mo,2023-05-28,,Miranda,Kimberly,Associate,
HP,Professional,Graham,Anthony,722-885-2158,Follow Up,,UPG,In Person,,2023-03-21,2023-02-15,1 Mo,,Telephonic,Crawford,Aaron,Associate,
SAP,Professional,Webb,Jennifer,(428)316-2479,Follow Up,,RPT,,,2023-06-13,2023-05-10,1 Mo,2023-04-17,,Marsh,Ashley,Closer,
NTT Security,Solo,Montes,Carlos,(343)784-8616,,2021-03-27,NEW,Email,,,2023-02-20,18 Mo,,In Person,Fields,Kelsey,,
HP,Enterprise,Torres,Michael,2195435043,,2009-12-19,RPT,Telephonic,,2023-06-23,,12 Mo,,In Person,Walsh,Vincent,Manager,
IBM,Enterprise,Small,Kevin,678-484-7942,Closed,2015-05-03,UPG,In Person,,2023-02-06,2023-05-15,12 Mo,2023-01-28,In Person,Smith,Christopher,,
Intel,Professional,Roberts,James,6929667238,Interested,2015-07-30,UPG,Email,2023-01-24,2023-04-27,2023-01-27,,2023-05-08,,Smith,Mary,Associate,
IBM,Enterprise,Reese,Gregory,(250)790-4249,Follow Up,2002-08-29,RPT,In Person,,2023-03-28,2023-05-09,12 Mo,2023-02-08,Telephonic,Barnes,Cindy,Manager,
NTT TechnoCross,Enterprise,Shaw,Michelle,479-645-9909,Interested,,ADD,Telephonic,,2023-05-27,2023-01-04,,,In Person,Lopez,Jessica,,
Amazon,Enterprise,Carter,Susan,2117303880,,,UPG,Telephonic,,,2023-05-27,12 Mo,,Telephonic,Rowe,Robin,Manager,
Microsoft,Professional,Rodriguez,Gregory,(660)375-4184,No Deal,,,,,2023-04-07,,,,In Person,Rubio,Jonathon,,
Salesforce,Enterprise,Carrillo,Laurie,(402)316-1619,No Deal,,UPG,Telephonic,,2023-01-03,2023-06-25,6 Mo,,,Edwards,Ashley,Associate,
Intel,Enterprise,Martin,Kevin,3574655520,Closed,,,Social Media,2023-01-28,,,18 Mo,2023-02-21,,Knight,Danny,Closer,
NTT Urban Development,Enterprise,Lewis,Ernest,3996581165,Closed,2010-10-23,NEW,Telephonic,,2023-01-26,,,,,Carpenter,Carl,Closer,
Intel,Enterprise,Brown,Justin,(934)218-0728,Interested,2005-05-28,,Social Media,,2023-04-17,,,,In Person,Barnes,Bruce,Associate,
NTT Security,Enterprise,Jennings,Dominique,378-726-2467,No Deal,2019-04-07,UPG,,,2023-01-12,2023-01-31,18 Mo,,Telephonic,Oliver,Kara,,
Adobe,Solo,Ellis,Deborah,(442)643-4879,,,UPG,In Person,2023-03-12,2023-04-30,,6 Mo,,In Person,Harris,Leah,,
NTT TechnoCross,Solo,Mendez,Anthony,895-827-1387,Interested,2009-09-13,RPT,In Person,,2023-03-21,,18 Mo,,,Fisher,Shelia,Closer,
NTT,Solo,Koch,Tricia,(798)460-2072,Interested,2010-08-29,RPT,Expo Event,,2023-04-16,2023-01-24,12 Mo,,Telephonic,Henson,Heather,Closer,
VMware,Enterprise,Castaneda,Michael,(587)359-0891,Closed,2013-09-25,RPT,Telephonic,2023-06-02,2023-06-18,2023-01-13,,,In Person,Christian,David,,
VMware,Solo,Williams,Austin,513-826-8601,,,RPT,Email,2023-01-02,2023-04-14,,18 Mo,,In Person,Snow,Marissa,,
NTT TechnoCross,Enterprise,Hughes,Larry,7889079243,No Deal,2015-04-29,,Expo Event,,,,12 Mo,2023-01-06,,Mendoza,Kimberly,Manager,
Dell,Enterprise,Johnson,Ashley,684-604-9632,Closed,2002-10-22,,,2023-01-12,2023-06-03,,6 Mo,,In Person,Johnson,Richard,,
HP,Professional,Shields,Aaron,(669)812-2804,,2020-07-31,NEW,Social Media,2023-02-26,2023-05-28,2023-01-07,6 Mo,,,Roth,Mark,Closer,
NTT,Professional,Matthews,Christina,(322)896-1585,Interested,2020-04-26,RPT,Expo Event,,2023-03-20,,18 Mo,2023-02-21,In Person,Richard,Kenneth,,
IBM,Solo,Scott,Courtney,413-338-9531,Follow Up,,,Telephonic,,2023-04-27,,6 Mo,,,Thomas,Shelby,Manager,
Oracle,Solo,Erickson,Kevin,818-788-3038,Interested,2007-05-31,NEW,Telephonic,2023-06-19,,2023-06-29,,,,Prince,Tammy,Manager,
Salesforce,Solo,Santana,Jose,(771)828-5318,Interested,,NEW,In Person,,2023-02-09,2023-02-05,12 Mo,,Telephonic,Mccormick,Christina,Closer,
Apple,Solo,Martinez,Jeffrey,(207)610-1727,Interested,2015-01-22,ADD,Email,,2023-04-08,2023-06-28,1 Mo,,In Person,Oliver,Richard,Associate,
NEC,Professional,Gibbs,Judith,9784800572,Closed,,ADD,Expo Event,,2023-06-15,2023-06-02,6 Mo,,Telephonic,Giles,Angela,Manager,
Amazon,Solo,Griffith,John,6173369840,Interested,2022-07-19,,Social Media,,2023-03-06,,6 Mo,,Telephonic,Hartman,Eric,Associate,
Salesforce,Solo,Turner,Tina,(259)657-0228,Closed,2016-01-21,RPT,In Person,,2023-02-05,,,2023-06-22,Telephonic,Smith,Edward,,
Dell,Solo,York,Steven,4417427170,Interested,,RPT,Expo Event,,2023-05-27,2023-06-09,6 Mo,,,Davis,Marissa,Manager,
Apple,Solo,Mathis,Cameron,7832301006,No Deal,2020-03-10,NEW,Social Media,,2023-01-04,2023-06-17,12 Mo,2023-05-01,In Person,Bryant,Jonathon,Associate,
NTT Communications,Professional,Strickland,Todd,325-814-2198,Follow Up,2021-11-10,ADD,Social Media,2023-03-05,2023-06-02,2023-01-18,,,Telephonic,Deleon,Kenneth,Manager,
IBM,Enterprise,Rivera,Cory,(515)220-0618,Interested,2022-03-17,,In Person,,2023-02-10,,12 Mo,,,Garner,Amanda,Manager,
NTT DATA Business Solutions,Solo,Peters,Brenda,388-836-1414,Follow Up,,UPG,Social Media,,2023-01-18,2023-01-21,12 Mo,,,Santana,Elizabeth,Manager,
Dell,Enterprise,Johnson,Daniel,609-633-9826,Interested,2011-09-17,ADD,Email,,2023-01-29,2023-05-28,6 Mo,,In Person,Landry,Valerie,Closer,
IBM,Solo,Davis,Melanie,4202138478,Interested,2017-10-12,NEW,,,,2023-04-04,,,Telephonic,Saunders,Keith,,
Huawei,Professional,Brown,Ronald,9894522332,Follow Up,2014-04-09,NEW,Telephonic,,2023-01-14,,6 Mo,,Telephonic,Morton,Pamela,Associate,
Cisco,Professional,Mckinney,Crystal,874-647-9297,Follow Up,2014-05-19,RPT,Expo Event,,,,1 Mo,,Telephonic,Patterson,Robert,Manager,
Intel,Solo,Reyes,Johnathan,(571)218-2221,,2022-11-04,,,,2023-02-13,,18 Mo,,,Thompson,Steven,Associate,
Apple,Enterprise,George,Stephen,4635707932,Interested,2008-03-31,ADD,Telephonic,2023-04-23,2023-06-01,,1 Mo,,,Davila,Timothy,Manager,
Intel,Professional,Sanchez,Madeline,(751)385-1993,No Deal,,,Social Media,,,,1 Mo,,Telephonic,Baird,Tiffany,,
NTT Urban Development,Enterprise,Green,Alexandra,(401)425-3881,Closed,,ADD,Telephonic,2023-06-16,2023-04-10,,6 Mo,,Telephonic,Smith,Felicia,Manager,
SAP,Solo,Lee,Anthony,7338978883,Follow Up,2019-12-30,ADD,In Person,,,2023-04-25,18 Mo,,,Lane,Norman,Closer,
NTT Communications,Professional,Lee,Jason,683-363-5308,Closed,2005-06-02,RPT,In Person,,2023-04-03,2023-04-22,1 Mo,,Telephonic,Hampton,Jocelyn,,
SAP,Enterprise,Walker,Rebecca,969-571-3713,Closed,2002-11-04,ADD,Expo Event,,,2023-05-16,,,,Warren,Kelly,Associate,
Apple,Enterprise,Harris,Tina,(993)623-6314,Follow Up,2023-01-27,,Email,,2023-02-21,,12 Mo,,Telephonic,Graham,Robin,,
Adobe,Professional,Page,Ashley,8046193349,No Deal,,,In Person,,,2023-06-15,12 Mo,,In Person,Richards,Bradley,Manager,
NTT Communications,Solo,Lane,Vincent,3298362881,No Deal,2015-03-06,,Email,,,,,,In Person,Pena,Aaron,,
VMware,Enterprise,Bennett,Jacqueline,7547955847,Follow Up,2006-03-09,,Expo Event,,,2023-04-16,,,,Ayers,Lauren,Manager,
SAP,Professional,Briggs,Stephen,673-309-8386,Follow Up,2004-03-27,NEW,Email,,2023-05-17,,18 Mo,2023-06-05,In Person,Hill,Melissa,Associate,
NTT Communications,Solo,Galvan,Nicole,574-222-7858,,,NEW,Social Media,,2023-01-02,,,,In Person,Jones,Andrea,Associate,
HPE,Professional,Jones,Morgan,7694236891,Follow Up,,RPT,Email,,2023-03-21,2023-04-21,18 Mo,,Telephonic,Baxter,Brian,,
NTT Data,Solo,Howell,Teresa,260-446-5778,Closed,2018-08-02,ADD,Telephonic,,2023-04-18,,1 Mo,,,James,Brett,Associate,
NTT Urban Development,Enterprise,Miller,David,346-813-0227,,2015-12-06,RPT,Email,,2023-04-24,,1 Mo,,Telephonic,Knox,Tyler,Manager,
Amazon,Professional,Bright,Joshua,(417)769-0422,,2014-04-08,ADD,In Person,,2023-05-16,2023-01-06,6 Mo,,In Person,Campbell,Christopher,Manager,
Facebook,Professional,Hall,Kimberly,3302239448,Follow Up,2008-08-13,ADD,Expo Event,,,2023-03-17,,,In Person,Hoffman,Kevin,,
VMware,Solo,Morales,Carlos,(396)513-9138,Closed,2018-03-23,ADD,,,2023-02-15,2023-05-24,1 Mo,,,Smith,Elizabeth,Manager,
NTT,Solo,Harper,David,211-493-3503,Interested,2019-02-08,RPT,Telephonic,,,,18 Mo,2023-02-25,In Person,Brady,Yvonne,,
